,User Address,MARS Airdrop
36677,terra1975r6k4mk54qtms3kw090mln3fme3rjzhffvdw,18473222
36663,terra19nmlac45qlut9p0a87qeqt8rskzv2n6sjqadf9,18473222
36440,terra1jfg4h287x07w7kdrsrdyx08l3azsssqzv9f0es,18473222
36682,terra1s897rnkxeuff4pujl03dpypgcqsdc2xj9vvsfy,18473222
36438,terra1neg9pjs8ra7jp62j8hkjfdufd8tgtg3kuya952,18473222
36623,terra1e5tnhmy2yy0ghmeuuvwk3z35revcu0qd229h5l,18473222
36647,terra1agus5t2ez4usqq64yns39ersftl79ywamw5f3p,18473222
36646,terra105r6e9vvl37vn25cnkq6s4amzfnmwjnq7k2wrj,18473222
36613,terra1gls8e766gqs4u7vgkwm2w8zp76amn62gt73l8n,18473222
36614,terra1yuusxl82xkmtf9hs6s3lmdatd5hrg8k3q064hp,18473222
36615,terra18509r86unrppgrqrej56vm9sw8edzwwznzfty4,18473222
36616,terra1yrmjkdd9s6pu60ecqhlg3lesaqrqn9zmx099r2,18473222
36617,terra1mnt5pg7uqhwkrwmvt7mlaah83qew7jkx5xhrzv,18473222
36618,terra1447zztpk66znyn9m850qy03kvw5k4dkghul6a5,18473222
36619,terra1yt7anlxv9sz3tmqptqdas3m9y7q325wapu3nv9,18473222
36620,terra1y8asjqjsnl8zsnxxpq6vepemmckdpvjs9mtw4e,18473222
36621,terra12qgr9j85z8lvdp5d8qfj98qgmzx6upxg7laclt,18473222
36648,terra1mu0kszahydhcjwavt4qc9jcq8azw2tkjqznye7,18473222
36622,terra1hp76g2cdnhcmvzh0dmfvpu7qjs49ak6j64jec2,18473222
36638,terra1pwp6ngdkgws2qemx423kn0mxgkgng56pxvh2am,18473222
36625,terra1rfwvl8z3h67vdyd4m3w5cwc062rn7m3d9t43tx,18473222
36627,terra18eusx5astr9h40dpjt5nm2lhxvgaskgkryd3sc,18473222
36628,terra1hqjye5w2029re5zgqpfrr5kplsv35u32u2muw4,18473222
36629,terra15ta8n4q4qdzqusy00gfp8ncgap2jwhlsuged6f,18473222
36630,terra1s5sddee5fz0ulck6xepyjahypezstwnycgv4wd,18473222
36645,terra1ucn9qucmuzf64jwtfk5n329mej4q545xelelhm,18473222
36644,terra10genuyr04qj4yf2hfr0tqck3uppu5xc7whc3ww,18473222
36643,terra127nhw098892zy45svar3jtn3cutndurmx6jrq9,18473222
36641,terra1a2hd5vwe8acdeq4cp0jm9ur50w6gvne7e48dt8,18473222
